Keyword,Frequency
green supply chain management,593
sustainability,572
sustainable supply chain management,510
green logistics,422
supply chain management,270
sustainable logistics,218
green supply chain,188
supply chain,188
circular economy,165
sustainable supply chain,160
sustainable development,144
logistics,122
environmental performance,119
gscm,109
industry 4.0,91
blockchain,90
artificial intelligence,84
environmental sustainability,79
green innovation,77
reverse logistics,70
systematic literature review,68
sustainable supply chain management (sscm),66
sustainable performance,64
literature review,63
green supply chain management (gscm),62
bibliometric analysis,61
firm performance,53
performance,53
multi-objective optimization,49
barriers,47
